id,result_master_id,DDH_name,from_m,to_m,Sample_Length_m,Scan_Length_m,Scan_Recovery_pct,Comp(c/s),Rayl(c/s),LT(secs),Al_pct,Al_2SE_pct,Al_mdl_pct,Si_pct,Si_2SE_pct,Si_mdl_pct,P_ppm,P_2SE_ppm,P_mdl_ppm,S_pct,S_2SE_pct,S_mdl_pct,Cl_ppm,Cl_2SE_ppm,Cl_mdl_ppm,K_pct,K_2SE_pct,K_mdl_pct,Ca_pct,Ca_2SE_pct,Ca_mdl_pct,Ti_ppm,Ti_2SE_ppm,Ti_mdl_ppm,V_ppm,V_2SE_ppm,V_mdl_ppm,Cr_ppm,Cr_2SE_ppm,Cr_mdl_ppm,Mn_ppm,Mn_2SE_ppm,Mn_mdl_ppm,Fe_pct,Fe_2SE_pct,Fe_mdl_pct,Ni_ppm,Ni_2SE_ppm,Ni_mdl_ppm,Cu_pct,Cu_2SE_pct,Cu_mdl_pct,Zn_pct,Zn_2SE_pct,Zn_mdl_pct,Ga_ppm,Ga_2SE_ppm,Ga_mdl_ppm,As_ppm,As_2SE_ppm,As_mdl_ppm,Se_ppm,Se_2SE_ppm,Se_mdl_ppm,Rb_ppm,Rb_2SE_ppm,Rb_mdl_ppm,Sr_ppm,Sr_2SE_ppm,Sr_mdl_ppm,Y_ppm,Y_2SE_ppm,Y_mdl_ppm,Zr_ppm,Zr_2SE_ppm,Zr_mdl_ppm,Nb_ppm,Nb_2SE_ppm,Nb_mdl_ppm,Mo_ppm,Mo_2SE_ppm,Mo_mdl_ppm,Ba_ppm,Ba_2SE_ppm,Ba_mdl_ppm,La_ppm,La_2SE_ppm,La_mdl_ppm,Ce_ppm,Ce_2SE_ppm,Ce_mdl_ppm,Pb_pct,Pb_2SE_pct,Pb_mdl_pct,U_ppm,U_2SE_ppm,U_mdl_ppm,minaloggerlink
69295,38,OOLDEA2,76,77,1,0.847,84.7,1758.494,548.5956,65.96,4.3129,0.5029,0.3497,20.8159,0.5019,0.1394,0,374.4492,509.7397,0,0.0283,0.0417,0,0,0,1.7441,0.0213,0.0035,0.7256,0.0084,0.0019,1954.9956,31.7739,9.5921,27.65,5.91,5.88,17.33,5.35,7.58,1445.1368,27.8805,6.1957,9.9201,0.0145,0.0007,15.04,1.45,1.87,0.0057,0.0004,0.0006,0.0046,0.0002,0.0003,17.6,1.45,2.04,6.76,2.41,3.6,0.0009,0.0002,0.0003,122.41,4.72,4.54,156.85,6.25,3.98,10.74,5.37,7.66,91.08,5.74,7.36,0,0,0,0,5.8,8.55,441.55,114.12,42.4,49.28,35.09,19.65,166.38,23.18,23.45,0,0.0011,0.0016,33.02,9.37,12.44,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=76.0&toDepth=77.0
69296,38,OOLDEA2,77,78,1,0.5049,50.49,1965.21,596.5622,46.94,4.1683,0.5441,0.4393,19.5576,0.5288,0.173,0,0,0,0.4133,0.0762,0.0497,0,0,0,2.5314,0.0307,0.0042,0.9,0.011,0.0024,1634.2588,31.1744,11.9902,27.17,7.03,7.2,11.22,6.48,9.24,1586.0879,31.7527,7.7446,7.9877,0.0138,0.0008,16.06,1.71,2.16,0.0035,0.0005,0.0007,0.0038,0.0002,0.0003,15.4,1.7,2.38,7.56,2.73,4.17,0.0006,0.0003,0.0004,169.88,6.12,5.36,120.46,5.56,4.71,0,6.21,9.09,114.99,6.94,8.74,0,0,0,0,7,10.45,848.87,160.86,51.71,36.55,40.61,24.12,178.58,28.67,28.63,0.0021,0.0012,0.0019,35.38,11.57,14.72,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=77.0&toDepth=78.0
69297,38,OOLDEA2,78,79,1,0.8598,85.98,1745.176,564.2447,66.19,5.4309,0.5997,0.3703,22.8809,0.5428,0.1496,1001.5862,405.4351,532.4336,0.1474,0.0397,0.0442,0,0,0,2.0774,0.0245,0.0037,0.8298,0.0092,0.0021,2468.7739,38.3685,10.7911,35.16,6.55,6.46,12.05,5.88,8.26,1812.2294,34.0761,6.9701,13.547,0.0186,0.0008,20.16,1.71,2.1,0.0072,0.0005,0.0006,0.005,0.0003,0.0003,23.57,1.63,2.27,8.37,2.73,3.99,0.0005,0.0002,0.0004,128,5.05,5.02,157.2,6.34,4.38,17.8,6.11,8.35,123.27,6.54,8.03,0,0,0,0,6.3,9.42,336.1,117.19,46.58,107.28,38.91,21.56,248.57,25.39,25.75,0,0.0012,0.0018,27.11,10.22,13.74,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=78.0&toDepth=79.0
69298,38,OOLDEA2,79,80,1,0.8656,86.56,1703.688,531.444,65.1,3.7614,0.4905,0.417,21.8447,0.5301,0.1581,0,403.6894,558.1825,0,0.0287,0.043,0,0,0,1.2905,0.0169,0.0037,0.6477,0.0077,0.002,2514.9361,38.968,10.1916,31.49,6.07,6,32.02,5.65,7.7,1544.2673,29.4294,6.9701,13.6475,0.0187,0.0008,14.95,1.62,2.07,0.0049,0.0004,0.0006,0.0046,0.0002,0.0003,18.16,1.63,2.24,5.63,2.57,3.92,0.0004,0.0002,0.0003,67.54,3.97,5.01,110.04,5.04,4.35,19.06,6.11,8.33,84.4,6.01,8.02,0,5.78,8.87,0,6.3,9.32,0,106.99,43.42,140.86,38.12,20.15,174.46,24.1,23.93,0,0.0012,0.0018,20.52,9.71,13.68,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=79.0&toDepth=80.0
69299,38,OOLDEA2,80,81,1,0.8721,87.21,1962.122,573.9882,63.69,5.055,0.5655,0.3563,22.8447,0.5422,0.1454,0,394.5246,532.87,0,0.029,0.0439,0,0,0,1.9095,0.0231,0.0037,0.6898,0.0082,0.002,1873.4625,31.1744,10.1916,34.05,6.23,6.15,25.99,5.65,7.89,1291.0198,25.5571,6.9701,10.2101,0.015,0.0008,14.69,1.45,1.91,0.0043,0.0004,0.0006,0.0049,0.0002,0.0003,13.14,1.45,2.09,7.88,2.41,3.66,0,0.0002,0.0003,119.41,4.72,4.64,146.95,5.99,4.06,10.42,5.48,7.79,111.78,6.01,7.49,0,0,0,0,5.9,8.37,592.98,127.18,44.26,63.94,35.4,20.58,169.43,24.4,24.53,0,0.0011,0.0016,25.33,9.54,12.73,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=80.0&toDepth=81.0
69300,38,OOLDEA2,81,82,1,0.9134,91.34,1783.654,580.5586,65.97,5.7341,0.62,0.36,24.881,0.5767,0.147,715.294,405.4351,536.7978,0,0.0294,0.0445,0,0,0,1.9222,0.023,0.0038,1.115,0.0114,0.0021,2132.45,34.172,10.7911,27.33,6.23,6.44,19.44,5.8,8.26,2028.3029,37.9484,6.9701,12.8025,0.0178,0.0008,17.85,1.62,2.05,0.0048,0.0004,0.0006,0.0058,0.0003,0.0003,19.61,1.57,2.21,12.87,2.73,3.9,0.0007,0.0002,0.0003,102.44,4.51,4.86,171.88,6.77,4.25,9.06,5.58,8.1,104.3,6.14,7.8,0,0,0,0,6.1,9.09,425.75,117.19,46.92,76.79,36.85,21.69,212.81,24.48,25.72,0,0.0011,0.0017,27.44,9.71,13.33,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=81.0&toDepth=82.0
69301,38,OOLDEA2,82,83,1,0.6066,60.66,1626.389,501.56,50.87,4.0404,0.5273,0.4223,17.4843,0.4851,0.1687,0,414.5999,577.385,0.2837,0.0583,0.048,0,0,0,0.914,0.0143,0.0041,0.9194,0.0106,0.0021,1736.1752,31.7739,10.7911,15.02,5.91,6.49,24.18,5.88,8.33,1849.4033,35.625,7.7446,13.2473,0.0194,0.0008,14.52,1.79,2.34,0.0048,0.0005,0.0007,0.0045,0.0003,0.0003,17.98,1.82,2.53,0,2.9,4.41,0,0.0003,0.0004,26.31,3.97,5.71,117.59,5.56,4.97,23.38,7.06,9.5,86.54,6.81,9.14,0,6.62,10.05,0,0,0,0,0,0,112.19,36.49,21.97,81.97,23.94,26.04,0,0.0013,0.002,0,10.56,15.65,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=82.0&toDepth=83.0
69302,38,OOLDEA2,83,84,1,0.917,91.7,2039.525,571.1221,68.13,4.7101,0.531,0.3475,21.7166,0.5136,0.1402,0,374.0128,510.1761,0,0.0275,0.0416,0,0,0,1.9771,0.0234,0.0034,0.7101,0.0082,0.0019,2022.1405,32.3734,9.5921,31.97,6.07,5.9,38.49,5.73,7.56,1236.8078,24.0082,6.1957,9.3556,0.0138,0.0007,13.93,1.37,1.82,0.0042,0.0004,0.0006,0.0042,0.0002,0.0003,15.65,1.45,2,6.44,2.41,3.55,0,0.0002,0.0003,121.45,4.62,4.44,150.34,5.99,3.89,11.9,5.26,7.44,121.66,6.01,7.19,0,5.22,7.94,0,0,0,672.21,135.19,42.2,76.37,35.46,19.62,178.81,24.1,23.52,0,0.001,0.0016,29.64,9.12,12.15,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=83.0&toDepth=84.0
69303,38,OOLDEA2,84,85,1,0.7873,78.73,1859.528,560.9189,58.05,3.3072,0.4803,0.4608,21.9802,0.5452,0.1687,0,0,0,0,0.0308,0.0469,0,0,0,1.637,0.0208,0.0038,0.7572,0.009,0.0021,1896.2438,32.3734,10.7911,23.66,6.23,6.47,27.95,5.95,8.28,1428.0987,27.8805,6.9701,11.3656,0.0167,0.0008,16.06,1.62,2.11,0.0054,0.0005,0.0006,0.0051,0.0003,0.0003,14.14,1.63,2.32,7.08,2.73,4.08,0.0004,0.0002,0.0004,110.06,4.83,5.16,155.46,6.43,4.52,16.22,6.21,8.64,116.99,6.68,8.33,0,0,0,0,0,0,389.87,114.45,46.61,65.7,36.85,21.59,187.65,24.48,25.75,0,0.0012,0.0018,31.92,10.47,14.11,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=84.0&toDepth=85.0
69304,38,OOLDEA2,85,86,1,0.9342,93.42,1853.286,552.32,66.42,4.5552,0.524,0.3539,21.6661,0.5182,0.1432,0,385.3597,521.5231,0,0.0296,0.0432,0,0,0,1.6354,0.0203,0.0037,0.7647,0.0087,0.002,2028.7351,32.9729,10.1916,30.37,5.91,6.08,15.22,5.42,7.77,1428.8732,27.8805,6.9701,11.6015,0.0164,0.0008,17.09,1.54,1.95,0.0054,0.0004,0.0006,0.0061,0.0003,0.0003,19.04,1.51,2.13,5.63,2.57,3.82,0,0.0002,0.0003,112.96,4.62,4.76,159.28,6.34,4.17,14.53,5.69,7.98,89.48,5.88,7.69,0,5.59,8.66,0,6,9.04,304.83,105.89,43.85,75.94,35.28,20.3,181.55,23.33,24.22,0,0.0011,0.0017,27.78,9.63,13.05,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=85.0&toDepth=86.0
